time,actuationPowerWatt
18.56,-8.442275667
18.6,-8.700895965
18.64,-8.953276162
18.68,-9.198299148
18.72,-9.434785331
18.76,-9.661486524
18.8,-9.877078816
18.84,-10.08015431
18.88,-10.26921165
18.92,-10.44264524
18.96,-10.59873306
19,-10.73562315
19.04,-10.8513187
19.08,-10.94366192
19.12,-11.01031708
19.16,-11.0487531
19.2,-11.05622659
19.24,-11.02976665
19.28,-10.96616317
19.32,-10.86196137
19.36,-10.71346617
19.4,-10.5167612
19.44,-10.26774873
19.48,-9.962218351
19.52,-9.595953298
19.56,-9.164884462
19.6,-8.665301173
19.64,-8.094125364
19.68,-7.449249508
19.72,-6.729928361
19.76,-5.937199607
19.8,-5.074290134
19.84,-4.146946611
19.88,-3.163617079
19.92,-2.135412168
19.96,-1.075796136
20,-7.01E-14
