time,actuatingForceNewton
9.35999999999998,-12.301232931899
9.39999999999998,-11.7862029920312
9.43999999999997,-11.3003311061119
9.47999999999997,-10.8438703898329
9.51999999999997,-10.4171836586742
9.55999999999997,-10.0207409517306
9.59999999999997,-9.65511258488391
9.63999999999997,-9.32095712892559
9.67999999999997,-9.01900400043651
9.71999999999997,-8.75003074334046
9.75999999999997,-8.51483554383357
9.79999999999997,-8.31420602095367
9.83999999999997,-8.14888581519318
9.87999999999997,-8.01954089557286
9.91999999999996,-7.9267277592142
9.95999999999996,-7.8708657555697
9.99999999999996,-7.85221560070049
10.04,-7.87086575556959
10.08,-7.92672775921406
10.12,-8.01954089557257
10.16,-8.14888581519299
10.2,-8.31420602095338
10.24,-8.51483554383319
10.28,-8.75003074334004
10.32,-9.01900400043595
10.36,-9.32095712892498
10.4,-9.65511258488321
10.44,-10.0207409517299
10.48,-10.4171836586734
10.52,-10.843870389832
10.56,-11.300331106111
10.5999999999999,-11.7862029920302
10.6399999999999,-12.301232931898
10.6799999999999,-12.8452763067791
10.7199999999999,-13.4182929914361
10.7599999999999,-14.0203414338118
10.7999999999999,-14.6515716385214
10.8399999999999,-15.3122177714175
10.8799999999999,-16.0025909742393
10.9199999999999,-16.7230728431226
10.9599999999999,-17.4741098948107
10.9999999999999,-18.2562092281252
11.0399999999999,-19.0699354903946
11.0799999999999,-19.9159091808767
11.1199999999999,-20.7948062653492
11.1599999999999,-21.7073590361567
11.1999999999999,-22.6543581274432
11.2399999999999,-23.6366555830827
11.2799999999999,-24.6551688720141
11.3199999999999,-25.7108857495215
11.3599999999999,-26.8048698711365
11.3999999999999,-27.9382670762372
11.4399999999999,-29.1123122694589
11.4799999999999,-30.3283368383948
11.5199999999999,-31.5877765546485
11.5599999999999,-32.8921799112375
11.5999999999999,-34.2432168517727
11.6399999999999,-35.6426878449605
11.6799999999999,-37.0925332508905
11.7199999999999,-38.5948429121872
11.7599999999999,-40.1518658821328
11.7999999999999,-41.7660201715718
11.8399999999999,-43.4399023546366
11.8799999999999,-45.1762968172919
11.9199999999999,-46.9781843587832
11.9599999999999,-48.848749759757
11.9999999999999,-50.791387806289
12.0399999999999,-52.8097070990761
12.0799999999999,-54.9075307725287
12.1199999999999,-57.0888929882455
12.1599999999999,-59.3580297377091
12.1999999999999,-61.7193620735398
12.2399999999999,-64.1774693680225
12.2799999999999,-66.7370495498418
12.3199999999999,-69.4028624711457
12.3599999999999,-72.1796515832453
12.3999999999999,-75.0720379300342
12.4399999999999,-78.0843790930832
12.4799999999999,-81.2205841514988
12.5199999999999,-84.483874001092
12.5599999999999,-87.8764746236149
12.5999999999999,-91.399229323786
12.6399999999999,-95.051114933882
12.6799999999999,-98.8286471277042
12.7199999999999,-102.725162208414
12.7599999999999,-106.729968358229
12.7999999999999,-110.827370126759
12.8399999999999,-114.995588032437
12.8799999999999,-119.205622784743
12.9199999999999,-123.420152417652
12.9599999999999,-127.592600279034
12.9999999999999,-131.666568235596
13.0399999999999,-135.575882332361
13.0799999999999,-139.245529165121
13.1199999999999,-142.593744526314
13.1599999999999,-145.53542339992
13.1999999999999,-147.98683375778
13.2399999999999,-149.871344228123
13.2799999999999,-151.125567391016
13.3199999999999,-151.705067343399
13.3599999999999,-151.588689139833
13.3999999999999,-150.780713265112
13.4399999999999,-149.310414882213
13.4799999999999,-147.229115053662
13.5199999999999,-144.605290973213
13.5599999999999,-141.518618528806
13.5999999999999,-138.053883118441
13.6399999999999,-134.295538577616
13.6799999999999,-130.323410635005
13.7199999999999,-126.209736632997
13.7599999999999,-122.017486164026
13.7999999999999,-117.799752789947
13.8399999999999,-113.599942627425
13.8799999999999,-109.452487978532
13.9199999999999,-105.383855045135
13.9599999999999,-101.413670440903
13.9999999999999,-97.5558461660182
14.0399999999999,-93.819628960926
14.0799999999999,-90.2105349254354
14.1199999999999,-86.7311545146112
14.1599999999999,-83.3818284313065
14.1999999999999,-80.1612037795134
14.2399999999999,-77.0666841586155
14.2799999999999,-74.0947887823078
14.3199999999999,-71.2414353764718
14.3599999999999,-68.5021603531485
14.3999999999999,-65.8722880920158
14.4399999999999,-63.3470594008128
14.4799999999999,-60.9217275481963
14.5199999999999,-58.5916287538662
14.5599999999999,-56.3522327144751
14.5999999999999,-54.1991776415768
14.6399999999999,-52.1282933749356
14.6799999999999,-50.1356153887525
14.7199999999999,-48.2173919055656
14.7599999999999,-46.3700858493144
14.7999999999999,-44.5903729841838
14.8399999999999,-42.8751372810112
14.8799999999999,-41.2214643127539
14.9199999999999,-39.6266332919785
14.9599999999999,-38.0881082160732
14.9999999999999,-36.6035284714938
15.0399999999999,-35.1706991600748
15.0799999999999,-33.787581342939
15.1199999999999,-32.4522823466083
15.1599999999999,-31.1630462382498
15.1999999999999,-29.9182445500178
15.2399999999999,-28.7163673141788
15.2799999999999,-27.5560144595531
15.3199999999998,-26.43588761457
15.3599999999998,-25.3547823618807
15.3999999999998,-24.3115809931619
15.4399999999998,-23.3052458196557
15.4799999999998,-22.3348131032716
15.5199999999998,-21.3993876838049
15.5599999999998,-20.4981383888016
15.5999999999998,-19.6302943224537
15.6399999999998,-18.7951421368447
15.6799999999998,-17.9920243907741
15.7199999999998,-17.2203390957621
15.7599999999998,-16.4795405328399
15.7999999999998,-15.7691413943883
15.8399999999998,-15.0887162596704
15.8799999999998,-14.4379063483935
15.9199999999998,-13.8164254121879
15.9599999999998,-13.2240665195654
15.9999999999998,-12.6607093683893
16.0399999999998,-12.1263276270593
16.0799999999998,-11.6209956711827
16.1199999999998,-11.1448939603233
16.1599999999998,-10.6983122071432
16.1999999999998,-10.2816494492962
16.2399999999998,-9.89541016388383
16.2799999999998,-9.54019568382762
16.3199999999998,-9.2166903975315
16.3599999999998,-8.92564253959845
16.3999999999998,-8.6678397987875
16.4399999999998,-8.44408045099065
16.4799999999998,-8.25514122469565
16.5199999999998,-8.10174356631634
16.5599999999998,-7.98452032925156
16.5999999999998,-7.90398510379878
16.6399999999998,-7.8605063901296
16.6799999999998,-7.8542885732487
16.7199999999998,-7.88536119828826
16.7599999999998,-7.95357741015752
16.7999999999998,-8.05862168438185
16.8399999999998,-8.2000262235174
16.8799999999998,-8.37719471594874
16.9199999999998,-8.5894316290308
16.9599999999998,-8.83597488995665
16.9999999999998,-9.1160297174766
17.0399999999998,-9.4288014954227
17.0799999999998,-9.77352588720064
17.1199999999998,-10.1494948229507
17.1599999999998,-10.5560774843987
17.1999999999998,-10.9927359057903
17.2399999999998,-11.4590352528187
17.2799999999998,-11.9546492006858
17.3199999999998,-12.4793610896739
17.3599999999998,-13.0330616893586
17.3999999999998,-13.6157444602307
17.4399999999998,-14.2274991810363
17.4799999999998,-14.8685047322997
17.5199999999998,-15.5390217121374
17.5599999999998,-16.2393854283976
17.5999999999998,-16.9699996765057
17.6399999999998,-17.7313315862717
17.6799999999998,-18.5239077104138
17.7199999999998,-19.3483114363435
17.7599999999998,-20.2051817318303
17.7999999999998,-21.0952131835462
17.8399999999998,-22.0191572530325
17.8799999999998,-22.9778246545232
17.9199999999998,-23.972088750301
17.9599999999998,-25.0028898589512
17.9999999999998,-26.0712403774018
18.0399999999998,-27.1782306267266
18.0799999999998,-28.3250353424639
18.1199999999998,-29.512920741158
18.1599999999998,-30.7432521047017
18.1999999999998,-32.017501831863
18.2399999999998,-33.3372579112293
18.2799999999998,-34.7042327708884
18.3199999999998,-36.1202724566624
18.3599999999998,-37.5873660816485
18.3999999999998,-39.107655474082
18.4399999999998,-40.6834449266527
18.4799999999998,-42.317210916567
18.5199999999998,-44.0116116194566
18.5599999999998,-45.7694959786826
18.5999999999998,-47.5939120107626
18.6399999999998,-49.4881139226359
18.6799999999998,-51.4555674810277
18.7199999999998,-53.4999529004428
18.7599999999998,-55.625164294594
18.7999999999998,-57.8353044543234
18.8399999999998,-60.1346733587952
18.8799999999998,-62.5277483784633
18.9199999999998,-65.0191535678918
18.9599999999998,-67.6136147510765
18.9999999999998,-70.3158962473544
19.0399999999998,-73.1307140489892
19.0799999999998,-76.0626190240651
19.1199999999998,-79.1158422753939
19.1599999999998,-82.294093158167
19.1999999999998,-85.6002987121384
19.2399999999998,-89.0362715400644
19.2799999999998,-92.6022917247699
19.3199999999998,-96.296587664982
19.3599999999998,-100.114701425166
19.3999999999998,-104.048727382554
19.4399999999998,-108.086420082064
19.4799999999998,-112.210180183538
19.5199999999998,-116.395948425541
19.5599999999998,-120.612068761096
19.5999999999998,-124.818224401479
19.6399999999998,-128.964603125076
19.6799999999998,-132.991504959928
19.7199999999998,-136.829653394816
19.7599999999998,-140.401489538918
19.7999999999998,-143.623689639557
19.8399999999998,-146.411023595404
19.8799999999998,-148.681454135005
19.9199999999998,-150.362084176518
19.9599999999998,-151.395258271102
20,-151.743913546798
