time,actuationPowerWatt
7.48000000000001,16.9190875946789
7.52000000000001,16.8906212354655
7.56000000000001,16.8162588077452
7.60000000000001,16.7000961340563
7.64000000000001,16.5459112469444
7.68000000000001,16.3571908080549
7.72000000000001,16.1371567207919
7.76000000000001,15.8887918405726
7.80000000000001,15.6148641146447
7.84000000000001,15.3179487828028
7.88000000000001,15.0004484747824
7.92000000000001,14.6646111757671
7.96000000000001,14.3125461181506
8.00000000000001,13.9462377101541
8.04,13.5675576408439
8.08,13.17827531428
8.12,12.7800667684202
8.16,12.3745222308846
8.2,11.9631524563978
8.24,11.5473939814974
8.28,11.1286134221353
8.32,10.7081109298815
8.36,10.2871229130698
8.4,9.86682412067007
8.44,9.44832917908473
8.48,9.03269366547102
8.51999999999999,8.6209147955685
8.55999999999999,8.21393179925755
8.59999999999999,7.8126260530647
8.63999999999999,7.41782103538752
8.67999999999999,7.03028216711647
8.71999999999999,6.65071659733411
8.75999999999999,6.27977299057066
8.79999999999999,5.91804136835411
8.83999999999999,5.56605305313385
8.87999999999999,5.22428075667699
8.91999999999999,4.8931388473211
8.95999999999998,4.57298382062459
8.99999999999998,4.26411498565744
9.03999999999998,3.96677536422276
9.07999999999998,3.68115278269409
9.11999999999998,3.40738111620492
9.15999999999998,3.14554162333573
9.19999999999998,2.89566428743184
9.23999999999998,2.65772906004256
9.27999999999998,2.43166688512602
9.31999999999998,2.21736037260049
9.35999999999998,2.01464398995353
9.39999999999998,1.82330365444503
9.43999999999997,1.64307563908581
9.47999999999997,1.47364475513959
9.51999999999997,1.31464184270138
9.55999999999997,1.16564068672803
9.59999999999997,1.02615457334207
9.63999999999997,0.895632801475362
9.67999999999997,0.773457555983716
9.71999999999997,0.658941616133078
9.75999999999997,0.551327403348743
9.79999999999997,0.44978785191689
9.83999999999997,0.353429508297031
9.87999999999997,0.261298128477255
9.91999999999996,0.172386856879501
9.95999999999996,0.0856468521939601
9.99999999999996,8.12344476041552e-14
10.04,-0.0856468521937962
10.08,-0.172386856879335
10.12,-0.261298128477084
10.16,-0.35342950829686
10.2,-0.44978785191671
10.24,-0.551327403348547
10.28,-0.658941616132872
10.32,-0.773457555983489
10.36,-0.895632801475121
10.4,-1.02615457334182
10.44,-1.16564068672775
10.48,-1.31464184270109
